 
Air 	air 	Minecraft Air
Pointed Dripstone 	pointed_dripstone 	Minecraft Pointed Dripstone
Grass 	grass_block 	Minecraft Grass
Grass Path 	dirt_path 	Minecraft Grass Path
Mycelium 	mycelium 	Minecraft Mycelium
Any Dirt 	dirt 	Minecraft Any Dirt
Dirt 	dirt 	Minecraft Dirt
Coarse Dirt 	coarse_dirt 	Minecraft Coarse Dirt
Podzol 	podzol 	Minecraft Podzol
Rooted Dirt 	rooted_dirt 	Minecraft Rooted Dirt
Mud 	mud 	Minecraft Mud
Packed Mud 	packed_mud 	Minecraft Packed Mud
Mud Bricks 	mud_bricks 	Minecraft Mud Bricks
Mud Brick Stairs 	mud_brick_stairs 	Minecraft Mud Brick Stairs
Mud Brick Slab 	mud_brick_slab 	Minecraft Mud Brick Slab
Mud Brick Wall 	mud_brick_wall 	Minecraft Mud Brick Wall
Cobblestone 	cobblestone 	Minecraft Cobblestone
Mossy Cobblestone 	mossy_cobblestone 	Minecraft Mossy Cobblestone
Mossy Cobblestone Stairs 	mossy_cobblestone_stairs 	Minecraft Mossy Cobblestone Stairs
Mossy Cobblestone Slab 	mossy_cobblestone_slab 	Minecraft Mossy Cobblestone Slab
Moss Block 	moss_block 	Minecraft Moss Block
Moss Carpet 	moss_carpet 	Minecraft Moss Carpet
Any Planks 	#minecraft:planks 	Minecraft Any Planks
Oak Planks 	oak_planks 	Minecraft Oak Planks
Spruce Planks 	spruce_planks 	Minecraft Spruce Planks
Birch Planks 	birch_planks 	Minecraft Birch Planks
Jungle Planks 	jungle_planks 	Minecraft Jungle Planks
Acacia Planks 	acacia_planks 	Minecraft Acacia Planks
Dark Oak Planks 	dark_oak_planks 	Minecraft Dark Oak Planks
Crimson Planks 	crimson_planks 	Minecraft Crimson Planks
Warped Planks 	warped_planks 	Minecraft Warped Planks
Mangrove Planks 	mangrove_planks 	Minecraft Mangrove Planks
Any Sapling 	#minecraft:saplings 	Minecraft Any Sapling
Oak Sapling 	oak_sapling 	Minecraft Oak Sapling
Spruce Sapling 	spruce_sapling 	Minecraft Spruce Sapling
Birch Sapling 	birch_sapling 	Minecraft Birch Sapling
Jungle Sapling 	jungle_sapling 	Minecraft Jungle Sapling
Acacia Sapling 	acacia_sapling 	Minecraft Acacia Sapling
Dark Oak Sapling 	dark_oak_sapling 	Minecraft Dark Oak Sapling
Mangrove Propagule 	mangrove_propagule 	Minecraft Mangrove Propagule
Sugar Cane 	sugar_cane 	Minecraft Sugar Cane
Bedrock 	bedrock 	Minecraft Bedrock
Any Sand 	#minecraft:sand 	Minecraft Any Sand
Sand 	sand 	Minecraft Sand
Red Sand 	red_sand 	Minecraft Red Sand
Gravel 	gravel 	Minecraft Gravel
Water 	water 	Minecraft Water
Water Still 	water 	Minecraft Water Still
Bubble Column 	bubble_column 	Minecraft Bubble Column
Lava 	lava 	Minecraft Lava
Lava Still 	lava 	Minecraft Lava Still
Magma Block 	magma_block 	Minecraft Magma Block
Obsidian 	obsidian 	Minecraft Obsidian
Crying Obsidian 	crying_obsidian 	Minecraft Crying Obsidian
Blackstone 	blackstone 	Minecraft Blackstone
Blackstone Stairs 	blackstone_stairs 	Minecraft Blackstone Stairs
Blackstone Wall 	blackstone_wall 	Minecraft Blackstone Wall
Blackstone Slab 	blackstone_slab 	Minecraft Blackstone Slab
Polished Blackstone 	polished_blackstone 	Minecraft Polished Blackstone
Polished Blackstone Bricks 	polished_blackstone_bricks 	Minecraft Polished Blackstone Bricks
Cracked Polished Blackstone Bricks 	cracked_polished_blackstone_bricks 	Minecraft Cracked Polished Blackstone Bricks
Chiseled Polished Blackstone 	chiseled_polished_blackstone 	Minecraft Chiseled Polished Blackstone
Polished Blackstone Brick Slab 	polished_blackstone_brick_slab 	Minecraft Polished Blackstone Brick Slab
Polished Blackstone Brick Stairs 	polished_blackstone_brick_stairs 	Minecraft Polished Blackstone Brick Stairs
Polished Blackstone Brick Wall 	polished_blackstone_brick_wall 	Minecraft Polished Blackstone Brick Wall
Polished Blackstone Stairs 	polished_blackstone_stairs 	Minecraft Polished Blackstone Stairs
Polished Blackstone Slab 	polished_blackstone_slab 	Minecraft Polished Blackstone Slab
Polished Blackstone Wall 	polished_blackstone_wall 	Minecraft Polished Blackstone Wall
Coal Ore 	coal_ore 	Minecraft Coal Ore
Iron Ore 	iron_ore 	Minecraft Iron Ore
Redstone Ore 	redstone_ore 	Minecraft Redstone Ore
Redstone Ore Lit 	redstone_ore 	Minecraft Redstone Ore Lit
Gold Ore 	gold_ore 	Minecraft Gold Ore
Lapis Lazuli Ore 	lapis_ore 	Minecraft Lapis Lazuli Ore
Diamond Ore 	diamond_ore 	Minecraft Diamond Ore
Emerald Ore 	emerald_ore 	Minecraft Emerald Ore
Copper Ore 	copper_ore 	Minecraft Copper Ore
Deepslate Coal Ore 	deepslate_coal_ore 	Minecraft Deepslate Coal Ore
Deepslate Iron Ore 	deepslate_iron_ore 	Minecraft Deepslate Iron Ore
Deepslate Redstone Ore 	deepslate_redstone_ore 	Minecraft Deepslate Redstone Ore
Deepslate Gold Ore 	deepslate_gold_ore 	Minecraft Deepslate Gold Ore
Deepslate Lapis Ore 	deepslate_lapis_ore 	Minecraft Deepslate Lapis Ore
Deepslate Diamond Ore 	deepslate_diamond_ore 	Minecraft Deepslate Diamond Ore
Deepslate Emerald Ore 	deepslate_emerald_ore 	Minecraft Deepslate Emerald Ore
Deepslate Copper Ore 	deepslate_copper_ore 	Minecraft Deepslate Copper Ore
Nether Quartz Ore 	nether_quartz_ore 	Minecraft Nether Quartz Ore
Nether Gold Ore 	nether_gold_ore 	Minecraft Nether Gold Ore
Gilded Blackstone 	gilded_blackstone 	Minecraft Gilded Blackstone
Raw Iron Block 	raw_iron_block 	Minecraft Raw Iron Block
Raw Gold Block 	raw_gold_block 	Minecraft Raw Gold Block
Raw Copper Block 	raw_copper_block 	Minecraft Raw Copper Block
Coal Block 	coal_block 	Minecraft Coal Block
Iron Block 	iron_block 	Minecraft Iron Block
Copper Block 	copper_block 	Minecraft Copper Block
Exposed Copper 	exposed_copper 	Minecraft Exposed Copper
Weathered Copper 	weathered_copper 	Minecraft Weathered Copper
Oxidized Copper 	oxidized_copper 	Minecraft Oxidized Copper
Cut Copper 	cut_copper 	Minecraft Cut Copper
Exposed Cut Copper 	exposed_cut_copper 	Minecraft Exposed Cut Copper
Weathered Cut Copper 	weathered_cut_copper 	Minecraft Weathered Cut Copper
Oxidized Cut Copper 	oxidized_cut_copper 	Minecraft Oxidized Cut Copper
Cut Copper Stairs 	cut_copper_stairs 	Minecraft Cut Copper Stairs
Exposed Cut Copper Stairs 	exposed_cut_copper_stairs 	Minecraft Exposed Cut Copper Stairs
Weathered Cut Copper Stairs 	weathered_cut_copper_stairs 	Minecraft Weathered Cut Copper Stairs
Oxidized Cut Copper Stairs 	oxidized_cut_copper_stairs 	Minecraft Oxidized Cut Copper Stairs
Cut Copper Slab 	cut_copper_slab 	Minecraft Cut Copper Slab
Exposed Cut Copper Slab 	exposed_cut_copper_slab 	Minecraft Exposed Cut Copper Slab
Weathered Cut Copper Slab 	weathered_cut_copper_slab 	Minecraft Weathered Cut Copper Slab
Oxidized Cut Copper Slab 	oxidized_cut_copper_slab 	Minecraft Oxidized Cut Copper Slab
Waxed Copper Block 	waxed_copper_block 	Minecraft Waxed Copper Block
Waxed Exposed Copper 	waxed_exposed_copper 	Minecraft Waxed Exposed Copper
Waxed Weathered Copper 	waxed_weathered_copper 	Minecraft Waxed Weathered Copper
Waxed Oxidized Copper 	waxed_oxidized_copper 	Minecraft Waxed Oxidized Copper
Waxed Cut Copper 	waxed_cut_copper 	Minecraft Waxed Cut Copper
Waxed Exposed Cut Copper 	waxed_exposed_cut_copper 	Minecraft Waxed Exposed Cut Copper
Waxed Weathered Cut Copper 	waxed_weathered_cut_copper 	Minecraft Waxed Weathered Cut Copper
Waxed Oxidized Cut Copper 	waxed_oxidized_cut_copper 	Minecraft Waxed Oxidized Cut Copper
Waxed Cut Copper Stairs 	waxed_cut_copper_stairs 	Minecraft Waxed Cut Copper Stairs
Waxed Exposed Cut Copper Stairs 	waxed_exposed_cut_copper_stairs 	Minecraft Waxed Exposed Cut Copper Stairs
Waxed Weathered Cut Copper Stairs 	waxed_weathered_cut_copper_stairs 	Minecraft Waxed Weathered Cut Copper Stairs
Waxed Oxidized Cut Copper Stairs 	waxed_oxidized_cut_copper_stairs 	Minecraft Waxed Oxidized Cut Copper Stairs
Waxed Cut Copper Slab 	waxed_cut_copper_slab 	Minecraft Waxed Cut Copper Slab
Waxed Exposed Cut Copper Slab 	waxed_exposed_cut_copper_slab 	Minecraft Waxed Exposed Cut Copper Slab
Waxed Weathered Cut Copper Slab 	waxed_weathered_cut_copper_slab 	Minecraft Waxed Weathered Cut Copper Slab
Waxed Oxidized Cut Copper Slab 	waxed_oxidized_cut_copper_slab 	Minecraft Waxed Oxidized Cut Copper Slab
Redstone Block 	redstone_block 	Minecraft Redstone Block
Gold Block 	gold_block 	Minecraft Gold Block
Lapis Lazuli Block 	lapis_block 	Minecraft Lapis Lazuli Block
Diamond Block 	diamond_block 	Minecraft Diamond Block
Emerald Block 	emerald_block 	Minecraft Emerald Block
Netherite Block 	netherite_block 	Minecraft Netherite Block
Any Block of Quartz 	#forge:ores/quartz 	Minecraft Any Block of Quartz
Smooth Quartz 	smooth_quartz 	Minecraft Smooth Quartz
Chiseled Quartz Block 	chiseled_quartz_block 	Minecraft Chiseled Quartz Block
Pillar Quartz Block 	quartz_pillar 	Minecraft Pillar Quartz Block
Block of Quartz 	quartz_block 	Minecraft Block of Quartz
Quartz Bricks 	quartz_bricks 	Minecraft Quartz Bricks
Smooth Quartz Stairs 	smooth_quartz_stairs 	Minecraft Smooth Quartz Stairs
Smooth Quartz Slab 	smooth_quartz_slab 	Minecraft Smooth Quartz Slab
Slime Block 	slime_block 	Minecraft Slime Block
Ancient Debris 	ancient_debris 	Minecraft Ancient Debris
Amethyst Block 	amethyst_block 	Minecraft Amethyst Block
Budding Amethyst 	budding_amethyst 	Minecraft Budding Amethyst
Amethyst Cluster 	amethyst_cluster 	Minecraft Amethyst Cluster
Large Amethyst Bud 	large_amethyst_bud 	Minecraft Large Amethyst Bud
Medium Amethyst Bud 	medium_amethyst_bud 	Minecraft Medium Amethyst Bud
Small Amethyst Bud 	small_amethyst_bud 	Minecraft Small Amethyst Bud
Oak/Spruce/Birch/Jungle Wood 	oak_log 	Minecraft Oak/Spruce/Birch/Jungle Wood
Oak Wood 	oak_log 	Minecraft Oak Wood
Spruce Wood 	spruce_log 	Minecraft Spruce Wood
Birch Wood 	birch_log 	Minecraft Birch Wood
Jungle Wood 	jungle_log 	Minecraft Jungle Wood
Acacia/Dark Oak Wood 	acacia_log 	Minecraft Acacia/Dark Oak Wood
Acacia Wood 	acacia_log 	Minecraft Acacia Wood
Dark Oak Wood 	dark_oak_log 	Minecraft Dark Oak Wood
Warped Stem 	warped_stem 	Minecraft Warped Stem
Crimson Stem 	crimson_stem 	Minecraft Crimson Stem
Mangrove Log 	mangrove_log 	Minecraft Mangrove Log
Mangrove Roots 	mangrove_roots 	Minecraft Mangrove Roots
Muddy Mangrove Roots 	muddy_mangrove_roots 	Minecraft Muddy Mangrove Roots
Stripped Oak Log 	stripped_oak_log 	Minecraft Stripped Oak Log
Stripped Spruce Log 	stripped_spruce_log 	Minecraft Stripped Spruce Log
Stripped Birch Log 	stripped_birch_log 	Minecraft Stripped Birch Log
Stripped Jungle Log 	stripped_jungle_log 	Minecraft Stripped Jungle Log
Stripped Acacia Log 	stripped_acacia_log 	Minecraft Stripped Acacia Log
Stripped Dark Oak Log 	stripped_dark_oak_log 	Minecraft Stripped Dark Oak Log
Stripped Warped Stem 	stripped_warped_stem 	Minecraft Stripped Warped Stem
Stripped Crimson Stem 	stripped_crimson_stem 	Minecraft Stripped Crimson Stem
Stripped Mangrove Log 	stripped_mangrove_log 	Minecraft Stripped Mangrove Log
Oak Wood 	oak_wood 	Minecraft Oak Wood
Spruce Wood 	spruce_wood 	Minecraft Spruce Wood
Birch Wood 	birch_wood 	Minecraft Birch Wood
Jungle Wood 	jungle_wood 	Minecraft Jungle Wood
Acacia Wood 	acacia_wood 	Minecraft Acacia Wood
Dark Oak Wood 	dark_oak_wood 	Minecraft Dark Oak Wood
Warped Hyphae 	warped_hyphae 	Minecraft Warped Hyphae
Crimson Hyphae 	crimson_hyphae 	Minecraft Crimson Hyphae
Mangrove Wood 	mangrove_wood 	Minecraft Mangrove Wood
Stripped Oak Wood 	stripped_oak_wood 	Minecraft Stripped Oak Wood
Stripped Spruce Wood 	stripped_spruce_wood 	Minecraft Stripped Spruce Wood
Stripped Birch Wood 	stripped_birch_wood 	Minecraft Stripped Birch Wood
Stripped Jungle Wood 	stripped_jungle_wood 	Minecraft Stripped Jungle Wood
Stripped Acacia Wood 	stripped_acacia_wood 	Minecraft Stripped Acacia Wood
Stripped Dark Oak Wood 	stripped_dark_oak_wood 	Minecraft Stripped Dark Oak Wood
Stripped Warped Hyphae 	stripped_warped_hyphae 	Minecraft Stripped Warped Hyphae
Stripped Crimson Hyphae 	stripped_crimson_hyphae 	Minecraft Stripped Crimson Hyphae
Stripped Mangrove Wood 	stripped_mangrove_wood 	Minecraft Stripped Mangrove Wood
Oak/Spruce/Birch/Jungle Leaves 	oak_leaves 	Minecraft Oak/Spruce/Birch/Jungle Leaves
Oak Leaves 	oak_leaves 	Minecraft Oak Leaves
Spruce Leaves 	spruce_leaves 	Minecraft Spruce Leaves
Birch Leaves 	birch_leaves 	Minecraft Birch Leaves
Jungle Leaves 	jungle_leaves 	Minecraft Jungle Leaves
Acacia/Dark Leaves 	acacia_leaves 	Minecraft Acacia/Dark Leaves
Acacia Leaves 	acacia_leaves 	Minecraft Acacia Leaves
Dark Oak Leaves 	dark_oak_leaves 	Minecraft Dark Oak Leaves
Mangrove Leaves 	mangrove_leaves 	Minecraft Mangrove Leaves
Azalea Leaves 	azalea_leaves 	Minecraft Azalea Leaves
Flowering Azalea Leaves 	flowering_azalea_leaves 	Minecraft Flowering Azalea Leaves
Any Sponge 	sponge 	Minecraft Any Sponge
Sponge 	sponge 	Minecraft Sponge
Wet Sponge 	wet_sponge 	Minecraft Wet Sponge
Any Sandstone 	#forge:sandstone 	Minecraft Any Sandstone
Sandstone 	sandstone 	Minecraft Sandstone
Chiseled Sandstone 	chiseled_sandstone 	Minecraft Chiseled Sandstone
Cut Sandstone 	cut_sandstone 	Minecraft Cut Sandstone
Sandstone Stairs 	sandstone_stairs 	Minecraft Sandstone Stairs
Smooth Sandstone 	smooth_sandstone 	Minecraft Smooth Sandstone
Smooth Sandstone Stairs 	smooth_sandstone_stairs 	Minecraft Smooth Sandstone Stairs
Smooth Sandstone Slab 	smooth_sandstone_slab 	Minecraft Smooth Sandstone Slab
Cut Sandstone Slab 	cut_sandstone_slab 	Minecraft Cut Sandstone Slab
Sandstone Wall 	sandstone_wall 	Minecraft Sandstone Wall
Any Red Sandstone 	#forge:sandstone 	Minecraft Any Red Sandstone
Red Sandstone 	red_sandstone 	Minecraft Red Sandstone
Chiseled Red Sandstone 	chiseled_red_sandstone 	Minecraft Chiseled Red Sandstone
Cut Red Sandstone 	cut_red_sandstone 	Minecraft Cut Red Sandstone
Red Sandstone Stairs 	red_sandstone_stairs 	Minecraft Red Sandstone Stairs
Smooth Red Sandstone 	smooth_red_sandstone 	Minecraft Smooth Red Sandstone
Smooth Red Sandstone Stairs 	smooth_red_sandstone_stairs 	Minecraft Smooth Red Sandstone Stairs
Smooth Red Sandstone Slab 	smooth_red_sandstone_slab 	Minecraft Smooth Red Sandstone Slab
Cut Red Sandstone Slab 	cut_red_sandstone_slab 	Minecraft Cut Red Sandstone Slab
Red Sandstone Wall 	red_sandstone_wall 	Minecraft Red Sandstone Wall
Note Block 	note_block 	Minecraft Note Block
Rail 	rail 	Minecraft Rail
Powered Rail 	powered_rail 	Minecraft Powered Rail
Detector Rail 	detector_rail 	Minecraft Detector Rail
Activator Rail 	activator_rail 	Minecraft Activator Rail
White Bed 	white_bed 	Minecraft White Bed
Orange Bed 	orange_bed 	Minecraft Orange Bed
Magenta Bed 	magenta_bed 	Minecraft Magenta Bed
Light Blue Bed 	light_blue_bed 	Minecraft Light Blue Bed
Yellow Bed 	yellow_bed 	Minecraft Yellow Bed
Lime Bed 	lime_bed 	Minecraft Lime Bed
Pink Bed 	pink_bed 	Minecraft Pink Bed
Gray Bed 	gray_bed 	Minecraft Gray Bed
Light Gray Bed 	light_gray_bed 	Minecraft Light Gray Bed
Cyan Bed 	cyan_bed 	Minecraft Cyan Bed
Purple Bed 	purple_bed 	Minecraft Purple Bed
Blue Bed 	blue_bed 	Minecraft Blue Bed
Brown Bed 	brown_bed 	Minecraft Brown Bed
Green Bed 	green_bed 	Minecraft Green Bed
Red Bed 	red_bed 	Minecraft Red Bed
Black Bed 	black_bed 	Minecraft Black Bed
Cobweb 	cobweb 	Minecraft Cobweb
Dead Bush 	dead_bush 	Minecraft Dead Bush
Shrub/Tall Grass/Fern 	grass 	Minecraft Shrub/Tall Grass/Fern
Shrub 	dead_bush 	Minecraft Shrub
Tall Grass 	grass 	Minecraft Tall Grass
Fern 	fern 	Minecraft Fern
Piston 	piston 	Minecraft Piston
Sticky Piston 	sticky_piston 	Minecraft Sticky Piston
Piston Head 	piston_head 	Minecraft Piston Head
Piston Extension 	moving_piston 	Minecraft Piston Extension
Dandelion 	dandelion 	Minecraft Dandelion
Any Flower 	#minecraft:small_flowers 	Minecraft Any Flower
Poppy 	poppy 	Minecraft Poppy
Blue Orchid 	blue_orchid 	Minecraft Blue Orchid
Allium 	allium 	Minecraft Allium
Azure Bluet 	azure_bluet 	Minecraft Azure Bluet
Red Tulip 	red_tulip 	Minecraft Red Tulip
Orange Tulip 	orange_tulip 	Minecraft Orange Tulip
White Tulip 	white_tulip 	Minecraft White Tulip
Pink Tulip 	pink_tulip 	Minecraft Pink Tulip
Oxeye Daisy 	oxeye_daisy 	Minecraft Oxeye Daisy
Cornflower 	cornflower 	Minecraft Cornflower
Lily of the Valley 	lily_of_the_valley 	Minecraft Lily of the Valley
Wither Rose 	wither_rose 	Minecraft Wither Rose
Any Large Flower 	#minecraft:small_flowers 	Minecraft Any Large Flower
Sunflower 	sunflower 	Minecraft Sunflower
Lilac 	lilac 	Minecraft Lilac
Double Tallgrass 	tall_grass 	Minecraft Double Tallgrass
Large Fern 	large_fern 	Minecraft Large Fern
Rose Bush 	rose_bush 	Minecraft Rose Bush
Peony 	peony 	Minecraft Peony
Brown Mushroom 	brown_mushroom 	Minecraft Brown Mushroom
Red Mushroom 	red_mushroom 	Minecraft Red Mushroom
Warped Fungus 	warped_fungus 	Minecraft Warped Fungus
Crimson Fungus 	crimson_fungus 	Minecraft Crimson Fungus
Brown Mushroom Block 	brown_mushroom_block 	Minecraft Brown Mushroom Block
Red Mushroom Block 	red_mushroom_block 	Minecraft Red Mushroom Block
Warped Wart Block 	warped_wart_block 	Minecraft Warped Wart Block
Mushroom Stem 	mushroom_stem 	Minecraft Mushroom Stem
Bricks 	bricks 	Minecraft Bricks
Brick Wall 	brick_wall 	Minecraft Brick Wall
TNT 	tnt 	Minecraft TNT
Bookshelf 	bookshelf 	Minecraft Bookshelf
Torch 	torch 	Minecraft Torch
Wall Torch 	wall_torch 	Minecraft Wall Torch
Soul Torch 	soul_torch 	Minecraft Soul Torch
Soul Wall Torch 	soul_wall_torch 	Minecraft Soul Wall Torch
Fire 	fire 	Minecraft Fire
Soul Fire 	soul_fire 	Minecraft Soul Fire
Lantern 	lantern 	Minecraft Lantern
Soul Lantern 	soul_lantern 	Minecraft Soul Lantern
Chain 	chain 	Minecraft Chain
Campfire 	campfire 	Minecraft Campfire
Soul Campfire 	soul_campfire 	Minecraft Soul Campfire
Any Candle 	#minecraft:candles 	Minecraft Any Candle
Candle 	candle 	Minecraft Candle
White Candle 	white_candle 	Minecraft White Candle
Orange Candle 	orange_candle 	Minecraft Orange Candle
Magenta Candle 	magenta_candle 	Minecraft Magenta Candle
Light Blue Candle 	light_blue_candle 	Minecraft Light Blue Candle
Yellow Candle 	yellow_candle 	Minecraft Yellow Candle
Lime Candle 	lime_candle 	Minecraft Lime Candle
Pink Candle 	pink_candle 	Minecraft Pink Candle
Gray Candle 	gray_candle 	Minecraft Gray Candle
Light Gray Candle 	light_gray_candle 	Minecraft Light Gray Candle
Cyan Candle 	cyan_candle 	Minecraft Cyan Candle
Purple Candle 	purple_candle 	Minecraft Purple Candle
Blue Candle 	blue_candle 	Minecraft Blue Candle
Brown Candle 	brown_candle 	Minecraft Brown Candle
Green Candle 	green_candle 	Minecraft Green Candle
Red Candle 	red_candle 	Minecraft Red Candle
Black Candle 	black_candle 	Minecraft Black Candle
Light Block 	light 	Minecraft Light Block
Mob Spawner 	spawner 	Minecraft Mob Spawner
Oak Stairs 	oak_stairs 	Minecraft Oak Stairs
Spruce Stairs 	spruce_stairs 	Minecraft Spruce Stairs
Birch Stairs 	birch_stairs 	Minecraft Birch Stairs
Jungle Stairs 	jungle_stairs 	Minecraft Jungle Stairs
Acacia Stairs 	acacia_stairs 	Minecraft Acacia Stairs
Dark Oak Stairs 	dark_oak_stairs 	Minecraft Dark Oak Stairs
Crimson Stairs 	crimson_stairs 	Minecraft Crimson Stairs
Warped Stairs 	warped_stairs 	Minecraft Warped Stairs
Mangrove Stairs 	mangrove_stairs 	Minecraft Mangrove Stairs
Cobblestone Stairs 	cobblestone_stairs 	Minecraft Cobblestone Stairs
Brick Stairs 	brick_stairs 	Minecraft Brick Stairs
Stone Brick Stairs 	stone_brick_stairs 	Minecraft Stone Brick Stairs
Nether Brick Stairs 	nether_brick_stairs 	Minecraft Nether Brick Stairs
Quartz Stairs 	quartz_stairs 	Minecraft Quartz Stairs
Purpur Stairs 	purpur_stairs 	Minecraft Purpur Stairs
Chest 	chest 	Minecraft Chest
Trapped Chest 	trapped_chest 	Minecraft Trapped Chest
Ender Chest 	ender_chest 	Minecraft Ender Chest
Crafting Table 	crafting_table 	Minecraft Crafting Table
Wheat 	wheat 	Minecraft Wheat
Farmland 	farmland 	Minecraft Farmland
Furnace 	furnace 	Minecraft Furnace
Oak Sign 	oak_sign 	Minecraft Oak Sign
Spruce Sign 	spruce_sign 	Minecraft Spruce Sign
Birch Sign 	birch_sign 	Minecraft Birch Sign
Acacia Sign 	acacia_sign 	Minecraft Acacia Sign
Jungle Sign 	jungle_sign 	Minecraft Jungle Sign
Dark Oak Sign 	dark_oak_sign 	Minecraft Dark Oak Sign
Crimson Sign 	crimson_sign 	Minecraft Crimson Sign
Warped Sign 	warped_sign 	Minecraft Warped Sign
Mangrove Sign 	mangrove_sign 	Minecraft Mangrove Sign
Oak Wall Sign 	oak_wall_sign 	Minecraft Oak Wall Sign
Spruce Wall Sign 	spruce_wall_sign 	Minecraft Spruce Wall Sign
Birch Wall Sign 	birch_wall_sign 	Minecraft Birch Wall Sign
Acacia Wall Sign 	acacia_wall_sign 	Minecraft Acacia Wall Sign
Jungle Wall Sign 	jungle_wall_sign 	Minecraft Jungle Wall Sign
Dark Oak Wall Sign 	dark_oak_wall_sign 	Minecraft Dark Oak Wall Sign
Crimson Wall Sign 	crimson_wall_sign 	Minecraft Crimson Wall Sign
Warped Wall Sign 	warped_wall_sign 	Minecraft Warped Wall Sign
Mangrove Wall Sign 	mangrove_wall_sign 	Minecraft Mangrove Wall Sign
Oak Door 	oak_door 	Minecraft Oak Door
Spruce Door 	spruce_door 	Minecraft Spruce Door
Birch Door 	birch_door 	Minecraft Birch Door
Jungle Door 	jungle_door 	Minecraft Jungle Door
Acacia Door 	acacia_door 	Minecraft Acacia Door
Dark Oak Door 	dark_oak_door 	Minecraft Dark Oak Door
Crimson Door 	crimson_door 	Minecraft Crimson Door
Warped Door 	warped_door 	Minecraft Warped Door
Mangrove Door 	mangrove_door 	Minecraft Mangrove Door
Iron Door 	iron_door 	Minecraft Iron Door
Oak Trapdoor 	oak_trapdoor 	Minecraft Oak Trapdoor
Spruce Trapdoor 	spruce_trapdoor 	Minecraft Spruce Trapdoor
